episode,steps,total_reward,reached_goal,policy
1,180,-227.0,1,random
2,200,-274.0,0,random
3,200,-276.0,0,random
4,184,-239.0,1,random
5,91,-127.0,1,random
6,200,-281.0,0,random
7,34,-37.0,1,random
8,61,-73.0,1,random
9,200,-287.0,0,random
10,68,-87.0,1,random
11,200,-280.0,0,random
12,200,-268.0,0,random
13,200,-280.0,0,random
14,78,-93.0,1,random
15,43,-51.0,1,random
16,86,-107.0,1,random
17,114,-135.0,1,random
18,117,-157.0,1,random
19,174,-217.0,1,random
20,200,-268.0,0,random
1,10,1.0,1,greedy
2,10,1.0,1,greedy
3,10,1.0,1,greedy
4,10,1.0,1,greedy
5,10,1.0,1,greedy
6,10,1.0,1,greedy
7,10,1.0,1,greedy
8,10,1.0,1,greedy
9,10,1.0,1,greedy
10,10,1.0,1,greedy
11,10,1.0,1,greedy
12,10,1.0,1,greedy
13,10,1.0,1,greedy
14,10,1.0,1,greedy
15,10,1.0,1,greedy
16,10,1.0,1,greedy
17,10,1.0,1,greedy
18,10,1.0,1,greedy
19,10,1.0,1,greedy
20,10,1.0,1,greedy
